Malaysia Exports By Category,X,M,export,import
"Animal, vegetable fats and oils, cleavage products",16.88,2.54,16880000000,2540000000
"Optical, photo, technical, medical apparatus",13.66,6.66,13660000000,6660000000
Plastics,9.03,8.48,9030000000,8480000000
Aluminum,5.95,5.15,5950000000,5150000000
Iron and steel,5.91,5.95,5910000000,5950000000
Miscellaneous chemical products,5.64,5.7,5640000000,5700000000
Rubbers,5.51,3.37,5510000000,3370000000
Organic chemicals,4.89,4.39,4890000000,4390000000
"Furniture, lighting signs, prefabricated buildings",3.15,1.35,3150000000,1350000000
"Pearls, precious stones, metals, coins",3.11,5.05,3110000000,5050000000
Articles of iron or steel,2.72,3.66,2720000000,3660000000
Copper,2.69,4.13,2690000000,4130000000
"Wood and articles of wood, wood charcoal",2.29,1,2290000000,1000000000
"Vehicles other than railway, tramway",2.22,8.25,2220000000,8250000000
Ores slag and ash,2.09,3.01,2090000000,3010000000
"Cereal, flour, starch, milk preparations and products",1.88,1.02,1880000000,1020000000
"Inorganic chemicals, precious metal compound, isotope",1.83,3.34,1830000000,3340000000
"Paper and paperboard, articles of pulp, paper and board",1.81,1.72,1810000000,1720000000
Cocoa and cocoa preparations,1.8,1.84,1800000000,1840000000
Miscellaneous edible preparations,1.7,1.32,1700000000,1320000000
Glass and glassware,1.57,$788.54M,1570000000,788540000
"Aircraft, spacecraft",1.32,$3.77B,1320000000,3770000000
"Toys, games, sports requisites",1.18,$580.84M,1180000000,580840000
"Soaps, lubricants, waxes, candles, modelling pastes",1.08,$688.51M,1080000000,688510000
"Articles of apparel, knit or crocheted",997.75,$1.16B,997750000,1160000000
"Stone, plaster, cement, asbestos, mica or similar materials",994.86,$329.12M,994860000,329120000
Fertilizers,914.28,$1.19B,914280000,1190000000
"Tanning, dyeing extracts, tannins, derivatives, pigments",890,$799.83M,890000000,799830000
Commodities not specified according to kind,744.29,$590.49M,744290000,590490000
"Residues, wastes of food industry, animal fodder",727.53,$1.47B,727530000,1470000000
"Dairy products, eggs, honey, edible products",673.28,$1.13B,673280000,1130000000
"Fish, crustaceans, molluscs, aquatics invertebrates",652.18,$1.23B,652180000,1230000000
"Beverages, spirits and vinegar",623.08,$665.28M,623080000,665280000
"Pulp of wood, fibrous cellulosic material, waste",491.62,$875.82M,491620000,875820000
Tin,483.28,$195.05M,483280000,195050000
Pharmaceutical products,468.73,$2.30B,468730000,2300000000
"Essential oils, perfumes, cosmetics, toileteries",467.82,$1.30B,467820000,1300000000
"Salt, sulphur, earth, stone, plaster, lime and cement",466.18,580.01,466180000,580010000
"Edible fruits, nuts, peel of citrus fruit, melons",452.14,905.29,452140000,905290000
Miscellaneous articles of base metal,403.11,481.07,403110000,481070000
"Meat, fish and seafood preparations",389.41,164.3,389410000,164300000
Sugars and sugar confectionery,347.66,$1.42B,347660000,1420000000
Miscellanneous manufactured articles,330.87,408.64,330870000,408640000
Knitted or crocheted fabric,311.53,106.14,311530000,106140000
Manmade staple fibers,310.25,190.69,310250000,190690000
Lead,302,127.79,302000000,127790000
Cotton,290.15,417.56,290150000,417560000
"Articles of apparel, not knit or crocheted",276.17,629.62,276170000,629620000
Manmade filaments,270.49,279.77,270490000,279770000
Edible vegetables and certain roots and tubers,268.2,$1.10B,268200000,1100000000
Clocks and watches,263.62,630.82,263620000,630820000
Live animals,241.46,55.29,241460000,55290000
"Musical instruments, parts and accessories",237.58,64.58,237580000,64580000
Ceramic products,237.42,531.29,237420000,531290000
Nickel,230.15,228.19,230150000,228190000
"Footwear, gaiters and the like,",224.45,682.54,224450000,682540000
"Other made textile articles, sets, worn clothing",219.88,402.29,219880000,402290000
"Albuminoids, modified starches, glues, enzymes",212.31,394.03,212310000,394030000
"Ships, boats, and other floating structures",205.9,67.44,205900000,67440000
"Printed books, newspapers, pictures",191.43,208.39,191430000,208390000
Zinc,191.12,503.73,191120000,503730000
"Wadding, felt, nonwovens, yarns, twine, cordage",187.51,202.19,187510000,202190000
"Tools, implements, cutlery of base metal",167.91,495.81,167910000,495810000
"Vegetable plaiting materials, vegetable products",160,4.48,160000000,4480000
"Vegetable, fruit, nut food preparations",157.58,491.13,157580000,491130000
Photographic or cinematographic goods,148.13,107.21,148130000,107210000
"Coffee, tea, mate and spices",128.17,721.96,128170000,721960000
"Base metals not specified elsewhere, cermets.",120.47,160.33,120470000,160330000
"Railway, tramway locomotives, rolling stock, equipment",119.99,166.54,119990000,166540000
"Articles of leather, animal gut, harness, travel good",118.66,647.03,118660000,647030000
"Live trees, plants, bulbs, roots, cut flowers",114.11,22.93,114110000,22930000
"Milling products, malt, starches, inlin, wheat gluten",99.64,507.13,99640000,507130000
"Impregnated, coated or laminated textile fabric",86.32,207.4,86320000,207400000
Meat and edible meat offal,79.41,$1.55B,79410000,1550000000
Tobacco and manufactures tobacco substitutes,79.08,$172.13M,79080000,172130000
Headgear and,66.12,$49.99M,66120000,49999999
Cereals,51.52,$2.53B,51520000,2530000000
"Oil seed, oleagic fruits, grain, seed, fruits",43.65,$677.19M,43650000,677190000
"Explosives, pyrotechnics, matches, pyrophorics",22.82,$35.72M,22820000,35720000
Carpets and other textile floor coverings,22.78,$109.09M,22780000,109090000
Raw hides and skins (other than furskins) and leather,21.8,$72.02M,21800000,72020000
"Special woven or tufted fabric, lace, tapestry",17.95,$34.67M,17950000,34670000
"Furskins and artificial fur, manufactures",16.3,$5.42M,16300000,5420000
Products of animal origin,10.99,$18.80M,10990000,18800000
"Lac, gums, resins",8.85,$76.06M,8850000,76060000
"Bird skin, feathers, artificial flowers, human hair",8.84,$24.01M,8840000,24010000
"Works of art, collectors' pieces and antiques",3.86,$44.22M,3860000,44220000
"Wool, animal hair, horsehair yarn and fabric",3.32,$6.00M,3320000,6000000
"Vegetable textile fibers not specified elsewhere, paper yarn, woven fabric",3.17,$3.86M,3170000,3860000
"Umbrellas, walking-sticks, seat-sticks, whips",2.68,$7.92M,2680000,7920000
"Manufacturers of plaiting material, basketwork",2.3,$5.79M,2300000,5790000
Cork and articles of cork,1.33,$1.90M,1330000,1900000
"Arms and ammunition, parts and accessories",1.15,$52.01M,1150000,52010000
Silk,551.27,$3.13M,551270,3130000