Country,Value (X),Value
Singapore,48.09,48090000000
China,42.15,42150000000
United States of America,35.46,35460000000
Japan,18.79,18790000000
Thailand,12.87,12870000000
South Korea,12.25,12250000000
Vietnam,11.4,11400000000
Indonesia,11.16,11160000000
Australia,10.94,10940000000
India,9.98,9980000000
Netherlands,7.86,7860000000
Germany,6.7,6700000000
Philippines,5.8,5800000000
Mexico,4.1,4100000000
Turkey,3.84,3840000000
United Arab Emirates,3.12,3120000000
Bangladesh,2.46,2460000000
Belgium,2.05,2050000000
United Kingdom,1.93,1930000000
New Zealand,1.62,1620000000
Saudi Arabia,1.5,1500000000
France,1.47,1470000000
Brunei,1.4,1400000000
Italy,1.38,1380000000
Spain,1.24,1240000000
Kenya,1.18,1180000000
Brazil,1.1,1100000000
South Africa,975.6,975600000
Pakistan,961.44,961440000
Canada,915.28,915280000
Myanmar,877.94,877940000
Switzerland,796.35,796350000
Sri Lanka,726.98,726980000
Poland,703.29,703290000
Costa Rica,638.98,638980000
Russia,619.69,619690000
Czechia,577.89,577890000
Hungary,522.03,522030000
Nigeria,519.66,519660000
Cambodia,514.87,514870000
Egypt,506.67,506670000
Papua New Guinea,492.91,492910000
Tanzania,445.75,445750000
Iraq,426.03,426030000
Iran,411.28,411280000
Mozambique,355.16,355160000
Djibouti,349.01,349010000
Afghanistan,336.7,336700000
Qatar,318.28,318280000
Oman,318.11,318110000
Sweden,315.97,315970000
Togo,294.29,294290000
Finland,251.42,251420000
Yemen,243.61,243610000
Austria,235.91,235910000
Ghana,229.75,229750000
Senegal,226.51,226510000
Fiji,209.79,209790000
Ireland,206.83,206830000
Denmark,194.21,194210000
Kuwait,191.07,191070000
Slovenia,189.16,189160000
Maldives,176.55,176550000
Romania,175.8,175800000
Slovakia,163.63,163630000
Benin,158.59,158590000
Argentina,157.87,157870000
Norway,155.91,155910000
Jordan,149.38,149380000
Peru,142.7,142700000
Greece,140.39,140390000
Morocco,136.88,136880000
Chile,133.74,133740000
Angola,123.03,123030000
Somalia,122.07,122070000
Tunisia,122.05,122050000
Colombia,116.89,116890000
Ivory Coast,115.61,115610000
Portugal,115.57,115570000
Madagascar,113.54,113540000
Belarus,112.41,112410000
Mauritania,112.21,112210000
Bulgaria,104.81,104810000
Mauritius,103.06,103060000
Kazakhstan,102.09,102090000
Algeria,94.68,94680000
Uzbekistan,93.03,93030000
New Caledonia,87.48,87480000
Cameroon,87.41,87410000
Estonia,83.65,83650000
Ethiopia,81.3,81300000
Malta,69.61,69610000
Panama,64.72,64720000
Ecuador,64.03,64030000
Lebanon,58.19,58190000
Democratic Republic of the Congo,58.07,58070000
Trinidad And Tobago,57.44,57440000
French Polynesia,55.12,55120000
Nepal,54.81,54810000
Guatemala,52.49,52490000
Sudan,51.9,51900000
Namibia,47.22,47220000
Bahrain,46.91,46910000
East Timor,42.78,42780000
Dominican Republic,40.02,40020000
Croatia,38.45,38450000
Georgia,38.29,38290000
Syria,37.86,37860000
Gambia,37.72,37720000
Latvia,36,36000000
Liberia,35.49,35490000
Kyrgyzstan,35.32,35320000
Mongolia,33.54,33540000
Uruguay,33.46,33460000
Macau,31,31000000
Honduras,29.96,29960000
Laos,29.63,29630000
Luxembourg,28.85,28850000
Vanuatu,27.22,27220000
Gabon,27.04,27040000
Azerbaijan,26.18,26180000
Guinea,26.02,26020000
Solomon Islands,25.51,25510000
Dem. Rep. Congo,24.7,24700000
Paraguay,24.29,24290000
Iceland,22.55,22550000
Bolivia,22.17,22170000
Libya,21.38,21380000
Lithuania,20.9,20900000
Ukraine,19.24,19240000
Albania,17.36,17360000
Sierra Leone,15.99,15990000
Jamaica,14.64,14640000
Marshall Islands,14.23,14230000
El Salvador,13.85,13850000
Seychelles,12.47,12470000
Equatorial Guinea,11.63,11630000
Guyana,11.09,11090000
Serbia,10.16,10160000
Turkmenistan,9.95,9950000
Venezuela,8.8,8800000
Cyprus,8.2,8200000
Uganda,8.12,8120000
Macedonia,6.67,6670000
Niger,6.67,6670000
Cuba,6.62,6620000
Zambia,6.58,6580000
Haiti,6.55,6550000
St Vincent and the Grenadines,6.36,6360000
Comoros,6.33,6330000
Suriname,5.44,5440000
Samoa,4.98,4980000
Zimbabwe,4.27,4270000
Nicaragua,4.07,4070000
Tonga,4.06,4060000
Eritrea,3.77,3770000
Barbados,3.42,3420000
Kiribati,3.13,3130000
Armenia,3.07,3070000
Palestine,2.95,2950000
Belize,2.86,2860000
Mali,2.51,2510000
Cape Verde,2.43,2430000
Guinea Bissau,2.22,2220000
Botswana,2.21,2210000
Malawi,2.05,2050000
Bhutan,1.98,1980000
Tajikistan,1.79,1790000
Burkina Faso,1.79,1790000
Antigua and Barbuda,1.68,1680000
Rwanda,1.56,1560000
Central African Republic,1.18,1180000
Sao Tome And Principe,1.14,1140000
Dominica,1.12,1120000
Montenegro,1.12,1120000
Chad,885.3,885300
Bahamas,833.09,833090
Grenada,816.56,816560
Moldova,725.74,725740
Bosnia And Herzegovina,701.56,701560
Greenland,576.18,576180
South Sudan,543.81,543810
Bermuda,465.35,465350
Cayman Islands,446.7,446700
Northern Mariana Islands,431.06,431060
Palau,334.64,334640
St Kitts and Nevis,188.34,188340
Aruba,178.33,178330
Lesotho,174.71,174710
Faroe Islands,80.47,80470
Andorra,57.25,57250
San Marino,29.44,29440
Burundi,16.39,16390